time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-16 00:00:00+00:00,1,1,32,18
2024-04-17 00:00:00+00:00,1,1,53,18
2024-04-18 00:00:00+00:00,5,2,36,15
2024-04-19 00:00:00+00:00,3,3,43,21
2024-04-20 00:00:00+00:00,1,1,56,22
2024-04-21 00:00:00+00:00,1,1,86,34
2024-04-22 00:00:00+00:00,12,5,34,17
2024-04-23 00:00:00+00:00,5,2,50,30
2024-04-24 00:00:00+00:00,1,1,13,11
2024-04-25 00:00:00+00:00,1,1,593,280
2024-04-26 00:00:00+00:00,2,2,915,399
2024-04-27 00:00:00+00:00,5,2,608,302
2024-04-28 00:00:00+00:00,1,1,321,167
2024-04-29 00:00:00+00:00,2,2,252,121
