url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,441,282
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.2,286,189
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1-deck,57,43
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,26,10
/mmvanheusden/SteamDepotDownloaderGUI/releases,25,21
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,22,9
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,14,6
/mmvanheusden/SteamDepotDownloaderGUI/issues,13,10
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,12,2
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,9,8
